Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Barwell R.","8431423000;","From language as a resource to sources of meaning in multilingual mathematics classrooms",2018,"Journal of Mathematical Behavior","50",,,"155","168",,24,"10.1016/j.jmathb.2018.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044298231&doi=10.1016%2fj.jmathb.2018.02.007&partnerID=40&md5=15e197a8f3e1732aa4644b1778fb3eac","Faculty of Education, University of Ottawa, 145 J-J-Lussier, Ottawa, ON  K1N 6N5, Canada","Barwell, R., Faculty of Education, University of Ottawa, 145 J-J-Lussier, Ottawa, ON  K1N 6N5, Canada","For more than twenty years, research on the learning and teaching of mathematics in multilingual classrooms has deployed the notion of language as a resource. I review and critique the development and application of this notion, focusing particularly on the work of Jill Adler, Mamokgethi Phakeng (formerly Setati), Nuria Planas and Judit Moschkovich. Thinking of language as a resource has been important in countering deficit perspectives on language diversity in mathematics classrooms, but also has some limitations, including its materialization of language and a tendency to separate different aspects of language use. I propose a theoretical framework, based on “sources of meaning” to address these limitations, drawing on Bakhtinian theory and the contemporary sociolinguistics of multilingualism. This framework includes four principles: language is agentive; meaning is relational; language is diverse; and language is stratified and stratifying. It also uses the sociolinguistic idea of repertoires to develop an integrated understanding of students’ meaning making in mathematics. I illustrate these ideas with interpretation of a short extract of a transcript of two students from a multilingual mathematics classroom working on worksheet tasks. © 2018 Elsevier Inc.","Heteroglossia; Immersion education; Language as a resource; Language diversity; Multilingual mathematics classrooms; Second language learners",,"English",Article,"Final","",Scopus,2-s2.0-85044298231
"Wang T.-L., Tseng Y.-K.","55982510700;10639094000;","The Comparative Effectiveness of Physical, Virtual, and Virtual-Physical Manipulatives on Third-Grade Students’ Science Achievement and Conceptual Understanding of Evaporation and Condensation",2018,"International Journal of Science and Mathematics Education","16","2",,"203","219",,24,"10.1007/s10763-016-9774-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991075820&doi=10.1007%2fs10763-016-9774-2&partnerID=40&md5=a9442ef5a287c06522cceec700232f21","Graduate Institute of Mathematics and Science Education, National Hsinchu University of Education, No. 521, Nanda Rd., Hsinchu City, 30014, Taiwan; Graduate Institute of Statistics, National Central University, Taoyuan City, Taiwan","Wang, T.-L., Graduate Institute of Mathematics and Science Education, National Hsinchu University of Education, No. 521, Nanda Rd., Hsinchu City, 30014, Taiwan; Tseng, Y.-K., Graduate Institute of Statistics, National Central University, Taoyuan City, Taiwan","The purpose of this study was to investigate the relative effectiveness of experimenting with physical manipulatives alone, virtual manipulatives alone, and virtual preceding physical manipulatives (combination environment) on third-grade students’ science achievement and conceptual understanding in the domain of state changes of water, focusing on the concepts of evaporation and condensation. A pretest-posttest design was used that involved 208 third-grade students assigned to the three learning conditions. A science achievement test and a two-tier conceptual test were administered to students before and after a teaching intervention. The results revealed that using virtual preceding physical manipulatives and virtual manipulatives alone enhanced students’ knowledge gains about evaporation and condensation greater than the use of physical laboratory activities alone. It was also found that the combination environment promoted students’ knowledge gains about these concepts equally well as the use of virtual laboratory activities alone. On the other hand, the results showed that using virtual preceding physical manipulatives promoted students’ conceptual understanding most efficiently compared to the use of either physical or virtual manipulatives alone; in contrast, experimenting with physical manipulatives alone was least influential for students’ conceptual understanding compared to the other manipulatives. © 2016, Ministry of Science and Technology, Taiwan.","Conceptual understanding; Physical manipulative; Science achievement; Virtual manipulative",,"English",Article,"Final","",Scopus,2-s2.0-84991075820
"Özreçberoğlu N., Çağanağa Ç.K.","57200421654;57103562400;","Making it count: Strategies for improving problem-solving skills in mathematics for students and teachers' classroom management",2018,"Eurasia Journal of Mathematics, Science and Technology Education","14","4",,"1253","1261",,24,"10.29333/ejmste/82536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041167817&doi=10.29333%2fejmste%2f82536&partnerID=40&md5=e7694ceca3d26bc13c3ebc4fff25c308","European University of Lefke, Lefke, Cyprus","Özreçberoğlu, N., European University of Lefke, Lefke, Cyprus; Çağanağa, Ç.K., European University of Lefke, Lefke, Cyprus","Understanding a problem is as important as solving it to understand the meaning of mathematics. It is a widespread view that problem-solving skills help individuals to overcome the problems easily in their daily lives. An individual with problem-solving skills is a self-confident, creative and independent thinker. It can be explicable that the societies formed by these individuals can easily solve the problems. In this vein, this study is aimed to determine the relationship between the acquisition of problem-solving skills that play an important role in mathematics alongside two dimensions of classroom management which are time management and plan-program management. It is thought that there is a close relationship between these two dimensions; problem-solving skills. The types of problems are divided into two; routine and non-routine. The aim is to get opinions about how these problems will be taught by mathematics teachers, at what level they will be used in class and what methods they will use for them. The study was conducted by doing a content analysis of qualitative research methods. The sample group which is randomly determined from five provinces of North Cyprus is composed of mathematics teachers who teach at the 9th grade level. The data was collected through semi-structured interview forms. Content analysis technique was used in the evaluation of the obtained data. As a result, it was found out that the mathematics teachers who work in the Ministry of National Education and teach at the 9th grade, have been given importance to problem-solving skills such as, problem-solving duration and problem-solving methods in their classes. In addition, the teachers pointed out that the time given is not sufficient at schools and they could not give enough importance to plan-program activities. They also pointed out that although the annual and monthly plans specified by the Ministry, the desired variety of questions could not be provided by different methods. © Authors.","Classroom management; Management of plan program activities; Non-routine problems; Problem-solving skills; Time management",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85041167817
"Fu L., Zhang Y., Xiong X., Bai Y.","36767533500;57197808437;35202600100;55461057600;","Pro-environmental awareness and behaviors on campus: Evidence from Tianjin, China",2018,"Eurasia Journal of Mathematics, Science and Technology Education","14","1",,"427","445",,24,"10.12973/ejmste/77953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034962155&doi=10.12973%2fejmste%2f77953&partnerID=40&md5=70dea0170da0a81b0499f295b9953dda","College of Management and Economics, Tianjin University, Tianjin, China; China Center for Social Computing and Analytics, Tianjin University, Tianjin, China","Fu, L., College of Management and Economics, Tianjin University, Tianjin, China; Zhang, Y., College of Management and Economics, Tianjin University, Tianjin, China; Xiong, X., College of Management and Economics, Tianjin University, Tianjin, China, China Center for Social Computing and Analytics, Tianjin University, Tianjin, China; Bai, Y., College of Management and Economics, Tianjin University, Tianjin, China","China has promoted green campuses for decades. To better explore the current extent of pro-environmental awareness and behaviors of types of stakeholders (student, faculty members, and administrators) on campus, this study investigated the relationship between pro-environmental awareness and pro-environmental behaviors along with the influences of motivators, barriers, and culture (face (reputation) and group pressure). A questionnaire survey was conducted with a sample of the three types of stakeholders at Tianjin University, one of the largest academic institutions and the earliest to implement green campus development initiatives in China. Structural equation modeling tested a causal model of awareness, behaviors, and other explanatory variables. The results found that pro-environmental behaviors were more likely than awareness and the respondents engaged in private more than in public pro-environmental behaviors. Chinese social and cultural factors influenced pro-environmental behavior, particularly among the administrators, which informs our understanding of the reasons for the awareness-behavior gap. China's universities focus on eco-technology and energy management rather than on dissemination and publicity. The results suggest that advancing a pro-environmental cultural atmosphere and a consistent sustainability policy might significantly foster pro-environmental behaviors on university campuses. © Authors.","Cultural norms; Environmental awareness; Environmental behavior; Stakeholder; Structural equation model",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85034962155
"Sherin M.G., Dyer E.B.","6603656727;57188751209;","Mathematics teachers’ self-captured video and opportunities for learning",2017,"Journal of Mathematics Teacher Education","20","5",,"477","495",,24,"10.1007/s10857-017-9383-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028537907&doi=10.1007%2fs10857-017-9383-1&partnerID=40&md5=c94bd2b8e2c085e369b3e5e0d331b4da","Northwestern University, 2120 Campus Drive, Evanston, IL  60208, United States","Sherin, M.G., Northwestern University, 2120 Campus Drive, Evanston, IL  60208, United States; Dyer, E.B., Northwestern University, 2120 Campus Drive, Evanston, IL  60208, United States","Numerous video-based programs have been developed to support mathematics teachers in reflecting on and examining classrooms interactions without the immediate demands of instruction. An important premise of such work is that teacher learning occurs at the time that the video is viewed and discussed with teachers. Recent advances in technology, however, offer new approaches for the use of video with teachers. We claim that these new technologies provide important opportunities for teacher learning prior to the viewing and discussion of video with colleagues. In particular, we believe that important teacher learning can occur from the activities of (1) capturing video from one’s own classroom and (2) selecting clips to share with others. The goal of this article is to introduce key strategies that three groups of middle and high school mathematics teachers use prior to, during, and after instruction as they engage in this work. We believe that increased attention to these strategies is necessary in order to better understand how to support teacher learning in the context of new digital technologies. © 2017, Springer Science+Business Media B.V.","Professional development; Teacher cognition; Teacher learning; Video",,"English",Article,"Final","",Scopus,2-s2.0-85028537907
"Markovits Z., Forgasz H.","6507222270;7801444775;","“Mathematics is like a lion”: Elementary students’ beliefs about mathematics",2017,"Educational Studies in Mathematics","96","1",,"49","64",,24,"10.1007/s10649-017-9759-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018805176&doi=10.1007%2fs10649-017-9759-2&partnerID=40&md5=135d7559c792a57e43214ed58239e485","Kibbutzim College of Education, Technology and the Arts, Tel Aviv, Israel; Monash University, Clayton, Australia","Markovits, Z., Kibbutzim College of Education, Technology and the Arts, Tel Aviv, Israel; Forgasz, H., Monash University, Clayton, Australia","The aim of this study was to explore the beliefs of elementary school students about mathematics and about themselves as mathematics learners. The participants, Israeli grade 4 and grade 6 students, completed questionnaires. Using an “animal metaphor” to tap beliefs, some students perceived mathematics as difficult and complicated, while for others, mathematics was connected to wisdom. The data from other questionnaire items indicated that students at both grade levels generally did not enjoy learning mathematics, but believed it was very important to study this subject. They also believed that they were good at mathematics, but the grade 6 students’ self-perceptions of achievement were lower than those of the grade 4 students. Compared to the boys, the girls in both grades 4 and 6 expressed lower perceptions of their mathematics achievement levels. © 2017, Springer Science+Business Media Dordrecht.","Beliefs; Elementary students; Gender; Mathematics; Metaphors",,"English",Article,"Final","",Scopus,2-s2.0-85018805176
"Riley N., Lubans D., Holmes K., Hansen V., Gore J., Morgan P.","37102533600;14619480100;24464753900;7102356924;8079743300;15840101900;","Movement-based mathematics: Enjoyment and engagement without compromising learning through the EASY minds program",2017,"Eurasia Journal of Mathematics, Science and Technology Education","13","6",,"1653","1673",,24,"10.12973/eurasia.2017.00690a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019085652&doi=10.12973%2feurasia.2017.00690a&partnerID=40&md5=e97a5c375a67358b3e91ed6ef9059125","University of Newcastle, Australia; Western Sydney University, Australia; University of Sydney, Australia","Riley, N., University of Newcastle, Australia; Lubans, D., University of Newcastle, Australia; Holmes, K., Western Sydney University, Australia; Hansen, V., University of Sydney, Australia; Gore, J., University of Newcastle, Australia; Morgan, P., University of Newcastle, Australia","There has been a worldwide decline in interest and achievement in mathematics in young people. Despite the extensive benefits of physical activity, the majority of children are not sufficiently active. Schools have the potential to arrest both concerns through innovative teaching that challenges and complements traditional approaches. The aim of this paper is to report student and teacher perceptions of the Encouraging Activity to Stimulate Young Minds program, a school-based physical activity integration intervention designed to enhance learning and engagement in mathematics and increase physical activity levels in children using movement-based learning experiences. Four classroom teachers were interviewed and 66 students participated in focus groups following the 6-week intervention. The program provided positive experiences for teachers and students, both in terms of enjoyment and engagement, while ensuring high quality learning experiences. Embedding movement-based learning across mathematics, had a significant positive effect on children's enjoyment and engagement without compromising the quality of learning. © Authors.","Engagement; Mathematics; Physical activity; Primary school; Quality teaching",,"English",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85019085652
"Zulnaidi H., Zamri S.N.A.S.","55352069000;36731792000;","The effectiveness of the geogebra software: The intermediary role of procedural knowledge on students' conceptual knowledge and their achievement in mathematics",2017,"Eurasia Journal of Mathematics, Science and Technology Education","13","6",,"2155","2180",,24,"10.12973/eurasia.2017.01219a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019060615&doi=10.12973%2feurasia.2017.01219a&partnerID=40&md5=56fc9a21be446cb0c5f905695aaae0ad","University of Malaya, Malaysia","Zulnaidi, H., University of Malaya, Malaysia; Zamri, S.N.A.S., University of Malaya, Malaysia","The aim of this study was to identify the effects of GeoGebra software on students' conceptual and procedural knowledge and the achievement of Form Two students in Mathematics particularly on the topic Function. In addition, this study determined the role of procedural knowledge as a mediator between conceptual knowledge and students' achievement. This study employed a quasi-experiment approach on 345 students divided into two groups. A group with 169 students used the GeoGebra software, while another 176 students used the conventional method to learn Mathematics. The data were collected through conceptual and procedural tests, and from students' achievement in the topic Function of the Mathematic examination. The data were analysed using the SPSS 22.0, AMOS 18.0 and ANATES v4 software. Findings of the study show that students who used GeoGebra to learn Mathematics have higher mathematical conceptual and procedural knowledge compared to those who learnt Mathematics through the conventional methods. Both experiment groups show that procedural knowledge is a significant mediator between conceptual knowledge and students' achievement in Mathematics. In conclution, GeoGebra software is capable of enhancing students' conceptual and procedural knowledge, which at the same time significantly improves students' achievement. © Authors.","Conceptual; Function; GeoGebra; Procedural; Quasi-experiment",,"English",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85019060615
"Miyazaki M., Fujita T., Jones K.","24483692600;55855129900;36986270600;","Students’ understanding of the structure of deductive proof",2017,"Educational Studies in Mathematics","94","2",,"223","239",,24,"10.1007/s10649-016-9720-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988353588&doi=10.1007%2fs10649-016-9720-9&partnerID=40&md5=5042a97e97e2afba2ff7d38f94e2f6a7","Institute of Education, Shinshu University, Roku-Ro Nishinagano, Nagano-Shi, 380-8544, Japan; Graduate School of Education, University of Exeter, Exeter, United Kingdom; School of Education, University of Southampton, Southampton, United Kingdom","Miyazaki, M., Institute of Education, Shinshu University, Roku-Ro Nishinagano, Nagano-Shi, 380-8544, Japan; Fujita, T., Graduate School of Education, University of Exeter, Exeter, United Kingdom; Jones, K., School of Education, University of Southampton, Southampton, United Kingdom","While proof is central to mathematics, difficulties in the teaching and learning of proof are well-recognised internationally. Within the research literature, a number of theoretical frameworks relating to the teaching of different aspects of proof and proving are evident. In our work, we are focusing on secondary school students learning the structure of deductive proofs and, in this paper, we propose a theoretical framework based on this aspect of proof education. In our framework, we capture students’ understanding of the structure of deductive proofs in terms of three levels of increasing sophistication: Pre-structural, Partial-structural, and Holistic-structural, with the Partial-structural level further divided into two sub-levels: Elemental and Relational. In this paper, we apply the framework to data from our classroom research in which secondary school students (aged 14) tackled a series of lessons that provided an introduction to proof problems involving congruent triangles. Using data from the transcribed lessons, we focus in particular on students who displayed the tendency to accept a proof that contained logical circularity. From the perspective of our framework, we illustrate what we argue are two independent aspects of Relational understanding of the Partial-structural level, those of universal instantiation and hypothetical syllogism, and contend that accepting logical circularity can be an indicator of lack of understanding of syllogism. These findings can inform how teaching approaches might be improved so that students develop a more secure understanding of deductive proofs and proving in geometry. © 2016, The Author(s).","Hypothetical syllogism; Proof; Structure; Understanding; Universal instantiation",,"English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84988353588
"Akerson V.L., Pongsanon K., Park Rogers M.A., Carter I., Galindo E.","6507210258;35300635400;16069353400;56928011000;56860273200;","Exploring the Use of Lesson Study to Develop Elementary Preservice Teachers’ Pedagogical Content Knowledge for Teaching Nature of Science",2017,"International Journal of Science and Mathematics Education","15","2",,"293","312",,24,"10.1007/s10763-015-9690-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945530152&doi=10.1007%2fs10763-015-9690-x&partnerID=40&md5=e023cad53e78d1b4444fd2f80cd55b3e","Indiana University- Bloomington, 201 North Rose Avenue, Bloomington, IN  47405, United States; Metropolitan State University of Denver, Denver, CO, United States","Akerson, V.L., Indiana University- Bloomington, 201 North Rose Avenue, Bloomington, IN  47405, United States; Pongsanon, K., Indiana University- Bloomington, 201 North Rose Avenue, Bloomington, IN  47405, United States; Park Rogers, M.A., Indiana University- Bloomington, 201 North Rose Avenue, Bloomington, IN  47405, United States; Carter, I., Metropolitan State University of Denver, Denver, CO, United States; Galindo, E., Indiana University- Bloomington, 201 North Rose Avenue, Bloomington, IN  47405, United States","This study explored a modified version of Japanese Lesson Study to determine whether and how it influenced preservice elementary teachers in their abilities to deliver science lessons that included nature of science (NOS) to their own students. We used a case study approach that focused on one subset of a cohort of preservice elementary teachers within their field placement settings. Data sources included lesson plans, lesson feedback forms, videotapes of delivered lessons, and videotapes of lesson study feedback sessions. Early in the semester peers provided feedback on content, and later in the semester peers provided feedback on classroom management as well as content during the lesson study feedback sessions. We found that preservice elementary teachers were able to provide feedback to their peers regarding how to include NOS in their science lessons, yet did not naturally included NOS connections within their own lessons. © 2015, Ministry of Science and Technology, Taiwan.","Elementary; Lesson Study; NOS; PCK; Preservice",,"English",Article,"Final","",Scopus,2-s2.0-84945530152
"Cai J., Ding M.","8972861500;23466264900;","On mathematical understanding: perspectives of experienced Chinese mathematics teachers",2017,"Journal of Mathematics Teacher Education","20","1",,"5","29",,24,"10.1007/s10857-015-9325-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944699149&doi=10.1007%2fs10857-015-9325-8&partnerID=40&md5=c7624e5afd153248d2e3b0c382a607a3","University of Delaware, 523 Ewing Hall, Newark, DE  19716, United States; Temple University, Philadelphia, PA, United States","Cai, J., University of Delaware, 523 Ewing Hall, Newark, DE  19716, United States; Ding, M., Temple University, Philadelphia, PA, United States","Researchers have long debated the meaning of mathematical understanding and ways to achieve mathematical understanding. This study investigated experienced Chinese mathematics teachers’ views about mathematical understanding. It was found that these mathematics teachers embrace the view that understanding is a web of connections, which is a result of continuous connection making. However, in contrast to the popular view which separates understanding into conceptual and procedural, Chinese teachers prefer to view understanding in terms of concepts and procedures. They place more stress on the process of concept development, which is viewed as a source of students’ failures in transfer. To achieve mathematical understanding, the Chinese teachers emphasize strategies such as reinventing a concept, verbalizing a concept, and using examples and comparisons for analogical reasoning. These findings draw on the perspective of classroom practitioners to inform the long-debated issue of the meaning of mathematical understanding and ways to achieve mathematical understanding. © 2015, Springer Science+Business Media Dordrecht.","Achieving mathematical understanding; Chinese teachers; Experienced teachers; Mathematical understanding; Perspective of classroom practitioners",,"English",Article,"Final","",Scopus,2-s2.0-84944699149
"Abdullah A.S.","55872557900;","Ethnomathematics in perspective of sundanese culture",2017,"Journal on Mathematics Education","8","1",,"1","16",,24,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042134754&partnerID=40&md5=4ad333b08f8888c0465512dd31559645","Universitas Padjadjaran, Jl. Raya Bandung Sumedang Km 21, Jatinangor, Sumedang, 45363, Indonesia","Abdullah, A.S., Universitas Padjadjaran, Jl. Raya Bandung Sumedang Km 21, Jatinangor, Sumedang, 45363, Indonesia","This study is an exploratory research aims to find and know about a phenomenon by exploration. Therefore, the approach used in this study is ethnographic approach, an empirical and theoretical approach to get description and deep analysis about a culture based on field study. From the sustainable interviews and confirmation about field research with some community leaders in Cipatujah district, Tasikmalaya regency and in Santolo Pameungpeuk beach, Garut regency; it is found that Ethnomathematics is still widely used by Sundanese people especially in rural areas: the use of measurement units, mathematical modeling, and the use of clock symbols. The results of this study can be useful for Sundanese people and the government of West Java in education, cultural services, and tourism. © 2017 Journal on Mathematics Education.All Rights Reserved.","Ethnomathematics; Modeling; Symbolic time; Unit calculation",,"English",Article,"Final","",Scopus,2-s2.0-85042134754
"Guo P.","57203567978;","MOOC and SPOC, which one is better?",2017,"Eurasia Journal of Mathematics, Science and Technology Education","13","8",,"5961","5967",,24,"10.12973/eurasia.2017.01044a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029812311&doi=10.12973%2feurasia.2017.01044a&partnerID=40&md5=97a93ce2784ff908feb8d5e52857154c","School of Economics and Management, Shijiazhuang Tiedao University, No.17, Northeast, Second Inner Ring Rd, Shijiazhuang City, Hebei, 050043, China","Guo, P., School of Economics and Management, Shijiazhuang Tiedao University, No.17, Northeast, Second Inner Ring Rd, Shijiazhuang City, Hebei, 050043, China","The research process has established according to the norms of MOOC and SPOC respectively, set up learning support platform, and arrange two groups of classes of no significant differences in knowledge level and learning styles, based on these two types of platform to start learning respectively. Using data analysis methods to explore the key factors that affect learning effectiveness. The results are that: 1. MOOC and SPOC are not alternative, but parallel. MOOC is fit for non-campus, large-scale education resource sharing, with education fairness as the concept. And SPOC is a special education mode on campus. 2. MOOC well adapts for basic theory education, while SPOC applies to professional skills education. 3. MOOC is more suitable for people with self-learning ability, and SPOC is suitable for students with weak ability to control themselves. © 2017 Authors.","Comparison; Educational technology; MOOC; SPOC",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85029812311
"Si L.-B., Qiao H.-Y.","36681689200;57195775926;","Performance of financial expenditure in China's basic science and math education: Panel data analysis based on CCR model and BBC model",2017,"Eurasia Journal of Mathematics, Science and Technology Education","13","8",,"5217","5224",,24,"10.12973/eurasia.2017.00995a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029805315&doi=10.12973%2feurasia.2017.00995a&partnerID=40&md5=eed7d4801bb24ede37cf6626c088b393","School of Public Administration, Yanshan University, Qinhuangdao, China; LiRen College, Yanshan University, Qinhuangdao, China","Si, L.-B., School of Public Administration, Yanshan University, Qinhuangdao, China; Qiao, H.-Y., LiRen College, Yanshan University, Qinhuangdao, China","Basic education plays the fundamental and leading role in the national education system. Strengthening and optimizing the allocation of resources in basic education and improving the performance of fiscal expenditure on basic education has always been the focus of academic attention. In this paper, the teacher-student ratio, per-student educational appropriations, per-student fixed assets are taken as the input indexes, graduation rate as the output index, data envelopment analysis (DEA) is used to analyze the performance of basic education expenditure from 2005 to 2014, obtaining the comprehensive technical efficiency, pure technical efficiency, scale efficiency, scale income and scale elasticity of the basic education expenditure. It is believed that in the input structure of basic education, raising the amount of input in junior middle school can improve the expenditure performance of the whole basic education better than the other three stages. At the same time, in the way of basic education input, improving the quality of resource allocation of input factors can improve the performance of basic education expenditure better than simply increasing the scale of input factors. Therefore, the performance of fiscal expenditure can be improved by optimizing the input structure of the financial expenditure and the matching quality of resources in the basic education stage. © 2017 Authors.","Basic education; Data envelopment analysis; Fiscal expenditure; Performance evaluation",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85029805315
"Scherer P., Beswick K., DeBlois L., Healy L., Opitz E.M.","14822476100;24376072900;14621513500;8845498000;56964337500;","Assistance of students with mathematical learning difficulties: how can research support practice?",2016,"ZDM - Mathematics Education","48","5",,"633","649",,24,"10.1007/s11858-016-0800-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978035360&doi=10.1007%2fs11858-016-0800-1&partnerID=40&md5=64d7f70e3bcc0719ef2501f8f3af2fe5","University of Duisburg-Essen, Essen, Germany; University of Tasmania, Hobart, Australia; Université Laval, Quebec, Canada; Anhanguera University of São Paulo, São Paulo, Brazil; University of Zurich, Zurich, Switzerland","Scherer, P., University of Duisburg-Essen, Essen, Germany; Beswick, K., University of Tasmania, Hobart, Australia; DeBlois, L., Université Laval, Quebec, Canada; Healy, L., Anhanguera University of São Paulo, São Paulo, Brazil; Opitz, E.M., University of Zurich, Zurich, Switzerland","When looking at teaching and learning processes in mathematics education students with mathematical learning difficulties or disabilities are of great interest. To approach the question of how research can support practice to assist these students one has to clarify the group or groups of students that we are talking about. The following contribution firstly concentrates on the problem of labelling the group of students having mathematical difficulties as there does not exist a single definition. This problem might be put down to the different roots of mathematics education on the one hand and special education on the other hand. Research results with respect to concepts and models for instruction are multifaceted based on the specific content and mathematical topics as well as the underlying view of mathematics. Taking into account inclusive education, a closer orientation to mathematical education can be identified and the potential of selected teaching and learning concepts can be illustrated. Beyond this, the role of the teacher, their attitudes and beliefs and the corresponding teacher education programs are discussed. © 2016, FIZ Karlsruhe.","Inclusive education; Mathematical learning difficulties; Special education; Teacher education",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84978035360
"Dunekacke S., Jenßen L., Eilerts K., Blömeke S.","56512248000;56512199600;55988283400;13905350300;","Epistemological beliefs of prospective preschool teachers and their relation to knowledge, perception, and planning abilities in the field of mathematics: a process model",2016,"ZDM - Mathematics Education","48","1-2",,"125","137",,24,"10.1007/s11858-015-0711-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962840673&doi=10.1007%2fs11858-015-0711-6&partnerID=40&md5=7521766bf078ce0d5f97711cc56654ba","Humboldt-Universität zu Berlin, Berlin, Germany; Carl von Ossietzky Universität Oldenburg, Uhlhornsweg, Oldenburg, 26111, Germany; Centre for Educational Measurement at the University of Oslo (CEMO), Oslo, Norway","Dunekacke, S., Humboldt-Universität zu Berlin, Berlin, Germany, Carl von Ossietzky Universität Oldenburg, Uhlhornsweg, Oldenburg, 26111, Germany; Jenßen, L., Centre for Educational Measurement at the University of Oslo (CEMO), Oslo, Norway; Eilerts, K., Humboldt-Universität zu Berlin, Berlin, Germany; Blömeke, S., Centre for Educational Measurement at the University of Oslo (CEMO), Oslo, Norway","Teacher competence is a multi-dimensional construct that includes beliefs as well as knowledge. The present study investigated the structure of prospective preschool teachers’ mathematics-related beliefs and their relation to content knowledge and pedagogical content knowledge. In addition, prospective preschool teachers’ perception and planning skills were assessed as indicators of teacher performance. Questionnaires were used to measure beliefs, paper-and-pencil based achievement tests to measure knowledge, and a video-based test to measure perception and planning abilities. Confirmatory factor analyses revealed that prospective preschool teachers’ mathematics-related beliefs can be distinguished into a static, a process, and an application orientation. Structural equation modeling revealed that an application orientation and mathematics pedagogical content knowledge can predict the ability to perceive mathematical learning situations and to plan adequate actions. Conclusions for preschool teacher education are drawn from the results. © 2015, FIZ Karlsruhe.","Preschool teachers; Teacher beliefs; Teacher education; Teacher knowledge; Teaching skills; Video-based testing",,"English",Article,"Final","",Scopus,2-s2.0-84962840673
"de Freitas E.","55457752300;","Material encounters and media events: what kind of mathematics can a body do?",2016,"Educational Studies in Mathematics","91","2",,"185","202",,24,"10.1007/s10649-015-9657-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953635401&doi=10.1007%2fs10649-015-9657-4&partnerID=40&md5=583ac44c9406a4410396ce22807ff17e","Education and Social Research Institute, Manchester Metropolitan University, Manchester, United Kingdom","de Freitas, E., Education and Social Research Institute, Manchester Metropolitan University, Manchester, United Kingdom","This paper contributes to research on the material dimensions of teaching and learning mathematics, arguing that perception is not sensory integration or synthesis of multi-modal information, but rather a speculative investment in specific material encounters. This approach entails sociopolitical consequences for how we work with dis/ability in mathematics classrooms because it foregrounds how the relationship between sense (as meaning) and sense (as sensation) can be fundamentally altered. I focus on how visual perception in mathematics can be reconceived in these terms, drawing principally on the philosophical insights of Michel Serres and Brian Massumi. This paper shows how philosophical work on perception can shed light on embodied mathematics, opening up discussion about the potentiality of the human body. © 2015, The Author(s).","Body; Diagrams; Materialism; Perception; Philosophy; Sensation; Visualization",,"English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84953635401
